state,offence_category,subcategory,2025_population,2026_population,month,incident_count
NSW,Against justice procedures,Escape custody,8479314,8479314,1995-03-01,34
NSW,Against justice procedures,Breach Apprehended Violence Order,8479314,8479314,1995-03-01,292
NSW,Against justice procedures,Breach bail conditions,8479314,8479314,1995-03-01,144
NSW,Against justice procedures,Fail to appear,8479314,8479314,1995-03-01,135
NSW,Against justice procedures,Resist or hinder officer,8479314,8479314,1995-03-01,338
NSW,Against justice procedures,Other offences against justice procedures,8479314,8479314,1995-03-01,387
NSW,Transport regulatory offences,,8479314,8479314,1995-03-01,57
NSW,Other offences,,8479314,8479314,1995-03-01,595
NSW,Homicide,Murder *,8479314,8479314,1995-04-01,11
NSW,Homicide,Attempted murder,8479314,8479314,1995-04-01,6
NSW,Homicide,"Murder accessory, conspiracy",8479314,8479314,1995-04-01,0
NSW,Homicide,Manslaughter *,8479314,8479314,1995-04-01,2
NSW,Assault,Domestic violence related assault,8479314,8479314,1995-04-01,638
NSW,Assault,Non-domestic violence related assault,8479314,8479314,1995-04-01,2158
NSW,Assault,Assault Police,8479314,8479314,1995-04-01,177
NSW,Sexual offences,Sexual assault,8479314,8479314,1995-04-01,188
NSW,Sexual offences,"Sexual touching, sexual act and other sexual offences",8479314,8479314,1995-04-01,334
NSW,Abduction and kidnapping,,8479314,8479314,1995-04-01,22
NSW,Robbery,Robbery without a weapon,8479314,8479314,1995-04-01,363
NSW,Robbery,Robbery with a firearm,8479314,8479314,1995-04-01,70
NSW,Robbery,Robbery with a weapon not a firearm,8479314,8479314,1995-04-01,129
NSW,Blackmail and extortion,,8479314,8479314,1995-04-01,1
NSW,Coercive Control,,8479314,8479314,1995-04-01,0
NSW,"Intimidation, stalking and harassment",,8479314,8479314,1995-04-01,423
NSW,Other offences against the person,,8479314,8479314,1995-04-01,84
NSW,Theft,Break and enter dwelling,8479314,8479314,1995-04-01,4656
NSW,Theft,Break and enter non-dwelling,8479314,8479314,1995-04-01,3202
NSW,Theft,Receiving or handling stolen goods,8479314,8479314,1995-04-01,475
NSW,Theft,Motor vehicle theft,8479314,8479314,1995-04-01,3584
NSW,Theft,Steal from motor vehicle,8479314,8479314,1995-04-01,3953
NSW,Theft,Steal from retail store,8479314,8479314,1995-04-01,1734
NSW,Theft,Steal from dwelling,8479314,8479314,1995-04-01,1846
NSW,Theft,Steal from person,8479314,8479314,1995-04-01,740
NSW,Theft,Stock theft,8479314,8479314,1995-04-01,58
NSW,Theft,Fraud,8479314,8479314,1995-04-01,1541
NSW,Theft,Other theft,8479314,8479314,1995-04-01,3447
NSW,Arson,,8479314,8479314,1995-04-01,252
NSW,Malicious damage to property,,8479314,8479314,1995-04-01,5530
NSW,Drug offences,Possession and/or use of cocaine,8479314,8479314,1995-04-01,16
NSW,Drug offences,Possession and/or use of narcotics,8479314,8479314,1995-04-01,102
NSW,Drug offences,Possession and/or use of cannabis,8479314,8479314,1995-04-01,919
NSW,Drug offences,Possession and/or use of amphetamines,8479314,8479314,1995-04-01,61
NSW,Drug offences,Possession and/or use of ecstasy,8479314,8479314,1995-04-01,2
NSW,Drug offences,Possession and/or use of other drugs,8479314,8479314,1995-04-01,27
NSW,Drug offences,"Dealing, trafficking in cocaine",8479314,8479314,1995-04-01,5
NSW,Drug offences,"Dealing, trafficking in narcotics",8479314,8479314,1995-04-01,37
NSW,Drug offences,"Dealing, trafficking in cannabis",8479314,8479314,1995-04-01,172
NSW,Drug offences,"Dealing, trafficking in amphetamines",8479314,8479314,1995-04-01,22
NSW,Drug offences,"Dealing, trafficking in ecstasy",8479314,8479314,1995-04-01,2
NSW,Drug offences,"Dealing, trafficking in other drugs",8479314,8479314,1995-04-01,4
NSW,Drug offences,Cultivating cannabis,8479314,8479314,1995-04-01,236
NSW,Drug offences,Manufacture drug,8479314,8479314,1995-04-01,0
NSW,Drug offences,Importing drugs,8479314,8479314,1995-04-01,2
NSW,Drug offences,Other drug offences,8479314,8479314,1995-04-01,195
NSW,Prohibited and regulated weapons offences,,8479314,8479314,1995-04-01,357
NSW,Disorderly conduct,Trespass,8479314,8479314,1995-04-01,242
NSW,Disorderly conduct,Offensive conduct,8479314,8479314,1995-04-01,247
NSW,Disorderly conduct,Offensive language,8479314,8479314,1995-04-01,425
NSW,Disorderly conduct,Criminal intent,8479314,8479314,1995-04-01,149
NSW,Betting and gaming offences,,8479314,8479314,1995-04-01,8
NSW,Liquor offences,,8479314,8479314,1995-04-01,101
NSW,Pornography offences,,8479314,8479314,1995-04-01,1
NSW,Against justice procedures,Escape custody,8479314,8479314,1995-04-01,24
NSW,Against justice procedures,Breach Apprehended Violence Order,8479314,8479314,1995-04-01,285
