sal_code,sal_name,total_population,completed_year12,total_labour_force,total_unemployed,median_weekly_household_income,served_in_adf,total_volunteers
11906,Hickeys Creek,128,39,54,5,1125,10,14
11907,High Range,497,217,242,7,2750,9,71
11908,Higher Macdonald,20,4,9,0,762,0,7
11909,Highfields (NSW),936,412,503,19,2198,31,111
11910,Hill End (NSW),111,30,40,3,749,4,21
11911,Hill Top (Snowy Monaro Regional - NSW),115,56,64,0,2100,3,27
11912,Hill Top (Wingecarribee - NSW),2792,825,1491,52,1924,57,251
11913,Hilldale,193,63,102,3,1550,5,32
11914,Hillgrove (Armidale Regional - NSW),174,60,75,3,1021,9,31
11915,Hillgrove (Wagga Wagga - NSW),30,11,10,0,1541,0,6
11916,Hillsborough (Lake Macquarie - NSW),641,234,345,19,1970,16,60
11917,Hillsborough (Maitland - NSW),50,18,27,0,2333,0,0
11918,Hillsdale,5647,3128,3007,175,1635,57,330
11919,Hillston,1547,477,800,16,1486,20,210
11920,Hillville,302,100,147,7,1281,10,53
11921,Hillvue,6528,2227,3430,122,1701,174,864
11922,Hinchinbrook (NSW),11521,5249,4748,332,1909,52,538
11923,Hinton,471,160,259,6,2131,14,71
11924,Hobartville,2712,968,1369,65,1759,96,272
11925,Hobbys Yards,89,35,47,0,1583,3,24
11926,Hogarth Range,66,19,29,0,1031,0,17
11927,Holbrook,1650,499,656,18,1101,58,293
11928,Holgate,1023,502,530,15,2951,21,158
11929,Hollisdale,52,25,25,0,1375,6,11
11930,Hollydeen,44,8,26,0,1875,0,3
11931,Holmesville,1413,358,724,29,1884,28,99
11932,Holroyd,1248,716,552,40,1893,4,80
11933,Holsworthy,5657,3001,3209,112,2571,606,412
11934,Holts Flat,10,7,7,0,3250,0,0
11935,Home Rule,55,5,16,0,966,3,0
11936,Homebush (NSW),11660,8255,6826,437,2101,221,770
11937,Homebush West,9108,5972,5054,412,1952,27,573
11938,Homeleigh,120,47,60,0,1083,6,13
11939,Honeybugle,41,6,15,0,1625,0,3
11940,Hopefield,95,36,53,0,2208,0,17
11941,Hopkins Creek,139,58,64,0,1375,0,31
11942,Horningsea Park,3673,1833,1824,85,2457,26,240
11943,Hornsby,22462,14010,12064,567,1952,224,2426
11944,Hornsby Heights,6354,3523,3332,119,2699,92,928
11945,Horse Station Creek,147,54,75,5,1341,8,32
11946,Horseshoe Bend,427,130,199,11,1375,5,42
11947,Horseshoe Creek,69,12,41,0,1375,0,8
11948,Horsfield Bay,501,259,270,16,2083,9,96
11949,Horsley,9437,3384,5007,181,2164,137,710
11950,Horsley Park,1790,612,745,17,2135,15,152
11951,Hoskinstown,191,100,113,4,2916,9,45
11952,Hovells Creek,27,7,13,0,1375,0,8
11953,Howards Grass,78,36,48,0,1850,5,16
11954,Howell,31,3,16,0,966,5,4
11955,Howes Valley,80,24,27,0,749,0,10
11956,Howick (NSW),0,0,0,0,0,0,0
11957,Howlong,2997,814,1342,49,1293,148,410
11958,Hoxton Park,4572,2016,1920,136,1960,28,217
11959,Humula,129,34,55,0,1218,7,30
11960,Hungerford (NSW),12,5,9,0,4750,0,0
11961,Hunters Hill,9014,5179,4150,144,3413,131,1503
11962,Hunterview,3113,997,1701,65,2379,133,347
11963,Huntingdon,86,28,32,0,2050,3,16
11964,Huntingwood,3,0,0,0,0,0,0
11965,Huntley (Orange - NSW),161,67,88,0,2437,6,26
11966,Huntley (Wollongong - NSW),66,21,25,0,1937,0,5
11967,Huntleys Cove,740,496,375,13,2359,21,147
11968,Huntleys Point,142,100,70,0,3999,0,27
11969,Huonbrook,99,38,29,0,725,0,26
11970,Hurlstone Park,5001,2970,2623,100,2121,51,560
11971,Hurstville,31162,20209,15560,1071,1804,137,1724
11972,Hurstville Grove,2606,1508,1250,50,2419,35,265
11973,Huskisson,840,351,357,8,1294,56,137
11974,Hyams Beach,137,91,39,4,1850,6,40
11975,Hydes Creek,155,68,69,8,2050,0,33
11976,Hyland Park,440,174,197,16,989,9,68
11977,Hyndmans Creek,41,17,23,0,1166,0,10
11978,Ilarwill,233,72,98,11,1162,8,49
11979,Ilford,165,57,69,4,933,8,37
